id,Count,shape_x,shape_y,shape_z
mp-1178079,2150400,96,140,160
mp-684509,2744000,140,140,140
mp-758902,1451520,48,140,216
mp-1220208,564480,56,56,180
mp-676711,2508800,128,140,140
mp-1234549,1016064,112,108,84
mp-561075,1119744,108,108,96
mp-764424,1382400,96,120,120
mp-753033,1440000,120,120,100
mp-20919,1572864,128,128,96
mp-573096,2822400,120,120,196
mp-1207454,1259712,108,108,108
mp-541629,1658880,80,96,216
mp-1224452,768000,80,80,120
mp-1225913,2099520,108,108,180
mp-14780,2116800,140,140,108
mp-998971,216000,60,60,60
mp-1224401,622080,72,72,120
mp-510324,1728000,120,120,120
mp-30200,1404928,112,112,112
mp-1183599,663552,96,96,72
mp-570390,3265920,108,108,280
mp-1029026,1290240,48,48,560
mp-1221781,829440,72,96,120
mp-1179959,688128,128,56,96
mp-1210731,1209600,120,120,84
mp-757820,2150400,96,112,200
mp-1215,165888,48,48,72
mp-1216807,1259712,108,108,108
mp-1224952,1119744,108,108,96
mp-504910,1306368,108,108,112
mp-1222406,368640,48,48,160
mp-505741,1259712,108,108,108
mp-1104501,1105920,96,96,120
mp-2235089,806400,56,80,180
mp-1028459,1843968,56,56,588
mp-571621,4300800,160,96,280
mp-1213952,2332800,108,120,180
mp-997552,1244160,240,72,72
mp-1179159,2867200,112,160,160
mp-1177520,884736,96,96,96
mp-752648,1843200,128,120,120
mp-1094137,2097152,128,128,128
mp-1209739,3386880,60,224,252
mp-1207169,175616,56,56,56
mp-621927,3110400,108,144,200
mp-1222190,1404928,112,112,112
mp-542112,262144,64,64,64
mp-551835,2744000,140,140,140
mp-766575,3870720,108,160,224
mp-1228721,1492992,108,108,128
mp-1084771,512000,80,80,80
mp-1103616,921600,100,96,96
mp-1194563,4096000,160,160,160
mp-23950,884736,96,96,96
mp-755541,1728000,120,120,120
mp-1219588,1404928,112,112,112
mp-1074429,1881600,96,100,196
mp-561176,4014080,224,112,160
mp-1104417,2195200,140,140,112
mp-1111447,1404928,112,112,112
mp-1189817,1382400,100,108,128
mp-621960,3456000,60,240,240
mp-13738,3317760,120,144,192
mp-22034,504000,60,60,140
mp-1754,307200,48,80,80
mp-1391765,2744000,140,140,140
mp-774640,1120000,80,100,140
mp-41057,884736,96,96,96
mp-770598,1524096,84,84,216
mp-5694,388800,60,60,108
mp-1113281,1728000,120,120,120
mp-11754,864000,60,120,120
mp-557130,4608000,120,160,240
mp-558125,1990656,96,96,216
mp-559926,884736,96,96,96
mp-1176965,3440640,140,128,192
mp-1197142,3072000,120,160,160
mp-562779,752640,80,84,112
mp-1176039,1105920,48,96,240
mp-17760,2985984,144,144,144
mp-1225370,580608,72,72,112
mp-1040015,2744000,140,140,140
mp-728240,4032000,300,96,140
mp-1211780,4096000,160,160,160
mp-1184963,512000,80,80,80
mp-1247165,737280,128,60,96
mp-9460,2097152,128,128,128
mp-1183759,262144,64,64,64
mp-1105595,1404928,112,112,112
mp-1100637,4096000,160,160,160
mp-1246684,691200,64,108,100
mp-1224231,4096000,160,160,160
mp-1207034,409600,64,80,80
mp-1407574,806400,56,80,180
mp-1226703,663552,72,96,96
mp-1811371,1152000,60,60,320
mp-1042508,2621440,128,128,160
mp-559299,663552,72,96,96
mp-1018800,301056,56,56,96
mp-1215820,552960,60,72,128
mp-1182334,1658880,96,96,180
mp-1221716,5832000,180,180,180
mp-34011,1259712,108,108,108
